This is the beginning of the performance data save operation
Data Management



Time,Measuring Object,SEIZURE TRAFFIC(ERL),
"04/09/2024 00:00:00","To SPB-INT(102)","0.00",
"04/09/2024 00:00:00","To CLK-INT M(103)","0.00",
"04/09/2024 00:00:00","To IRK-INT M(104)","0.00",
"04/09/2024 00:00:00","To MSK-NAT M(111)","0.00",
"04/09/2024 00:00:00","To SPB-NAT M(112)","0.03",
"04/09/2024 00:00:00","To RND-NAT M(113)","0.02",
"04/09/2024 00:00:00","To SMA-NAT M(114)","0.00",
"04/09/2024 00:00:00","To CLK-NAT M(115)","0.00",
"04/09/2024 00:00:00","To NSK-NAT M(116)","0.00",
"04/09/2024 00:00:00","To KBK-NAT M(117)","0.00",
"04/09/2024 00:00:00","Beltelecom(203)","0.00",
"04/09/2024 00:00:00","Kazakhtelekom_Astana(212)","0.00",
"04/09/2024 00:00:00","Vimpelcom_MNnew(214)","0.00",
"04/09/2024 00:00:00","TNS-PLUS_Almata(216)","0.00",
"04/09/2024 00:00:00","TNS-PLUS_Astana(218)","0.00",
"04/09/2024 00:00:00","Rostelecm_MN_OUT(228)","0.00",
"04/09/2024 00:00:00","RTK-PL(229)","0.00",
"04/09/2024 00:00:00","Megafon_MSK_MN_IN(240)","0.00",
"04/09/2024 00:00:00","MTT_MSK_MN(241)","0.00",
"04/09/2024 00:00:00","Oblcom_Swiss(250)","9.01",
"04/09/2024 00:00:00","Megafon_MSK_MN_OUT(251)","0.00",
"04/09/2024 00:00:00","China Telecom_GZU(260)","0.00",
"04/09/2024 00:00:00","China Telecom_SHI(262)","0.00",
"04/09/2024 00:00:00","MTS_MSK_MN(263)","0.00",
"04/09/2024 00:00:00","Vimpelcom_DEFnew(278)","0.00",
"04/09/2024 00:00:00","EXATEL(288)","0.00",
"04/09/2024 00:00:00","TTK_Kazahstan(289)","0.00",
"04/09/2024 00:00:00","China Mobile 12062(290)","0.00",
"04/09/2024 00:00:00","China Mobile 12063(291)","0.00",
"04/09/2024 00:00:00","Vimpelcom_DEFnew_res(292)","0.00",
"04/09/2024 00:00:00","MTT_MSK_INT2(293)","2.26",
"04/09/2024 00:00:00","MTT_MSK_INT3(294)","0.32",
"04/09/2024 00:00:00","M800 Limited(402)","0.00",
"04/09/2024 00:00:00","Cellcom(403)","0.00",
"04/09/2024 00:00:00","Ecotelecom(404)","0.00",
"04/09/2024 00:00:00","Unitel(405)","0.00",
"04/09/2024 00:00:00","Sipnet-2(406)","0.00",
"04/09/2024 00:00:00","TurkTelekom(407)","0.00",
"04/09/2024 00:00:00","UzbekTelecom(408)","0.00",
"04/09/2024 00:00:00","Deutsche_T(vpn)(409)","0.00",
"04/09/2024 00:00:00","Cetin(410)","0.00",
"04/09/2024 00:00:00","Astel(411)","0.01",
"04/09/2024 00:00:00","Nobel(415)","0.00",
"04/09/2024 00:00:00","Arelion Sweden(416)","0.00",
"04/09/2024 00:00:00","Aquafon(417)","0.00",
"04/09/2024 00:00:00","IBASIS(418)","0.01",
"04/09/2024 00:00:00","Viber(420)","0.00",
"04/09/2024 00:00:00","Indigo(421)","0.00",
"04/09/2024 00:00:00","CITIC(423)","0.00",
